epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2672,1.69222,2.58487,1.91675,0.75127,0.26,0.35359,0.11231,2.28809,2.50345,2.72521,0.000552888,0.000552888,0.000552888
2,45.3186,1.79975,2.15956,1.94368,0.19748,0.52043,0.16261,0.06316,1.96471,2.28074,2.33802,0.00105368,0.00105368,0.00105368
3,66.3183,1.8362,2.1127,1.95937,0.22598,0.62217,0.37668,0.14059,2.10342,2.11652,2.48371,0.00149946,0.00149946,0.00149946
4,86.5767,1.86312,2.07491,1.96717,0.40538,0.475,0.38987,0.13293,2.15538,2.49338,2.46994,0.00141945,0.00141945,0.00141945
5,107.367,1.81438,2.08254,1.96019,0.5064,0.62958,0.58128,0.22249,1.95904,1.85907,2.30241,0.00133693,0.00133693,0.00133693
6,127.976,1.76587,1.97608,1.89335,0.6697,0.49576,0.60227,0.26465,1.86453,1.64001,2.19471,0.00125442,0.00125442,0.00125442
7,149.372,1.74082,1.90735,1.88994,0.62307,0.69917,0.70173,0.29481,1.84256,1.58242,2.15588,0.0011719,0.0011719,0.0011719
8,169.632,1.72008,1.89316,1.88223,0.7173,0.665,0.70234,0.31322,1.80392,1.53007,2.13573,0.00108938,0.00108938,0.00108938
9,191.053,1.63633,1.80112,1.81282,0.52557,0.59763,0.62249,0.26811,1.84884,1.79012,2.1674,0.00100687,0.00100687,0.00100687
10,211.456,1.62599,1.82481,1.78213,0.5668,0.66846,0.65468,0.30626,1.8157,1.62289,2.11087,0.000924352,0.000924352,0.000924352
